,start_bin,end_bin,weight
0,0.0,1.0,0.03147050114497422
1,1.0,2.0,0.05485672319258161
2,2.0,3.0,0.11535608086787627
3,3.0,4.0,0.21842891858668048
4,4.0,5.0,0.3830694676150359
5,5.0,6.0,0.582243381166876
6,6.0,7.0,0.7760014348343752
7,7.0,8.0,1.0790395364689946
8,8.0,9.0,1.4213536293518414
9,9.0,10.0,1.4068724504698495
10,10.0,15.0,2.201471093682988
11,15.0,20.0,3.0256437191544543
12,20.0,25.0,3.1083197339871584
13,25.0,30.0,2.9986086665007843
14,30.0,35.0,2.8475287800669724
15,35.0,40.0,2.5229296630299776
16,40.0,45.0,2.370113164070207
17,45.0,50.0,2.379717500787232
18,50.0,55.0,2.369780699581165
19,55.0,60.0,2.2611640263103046
20,60.0,65.0,2.3220217750009056
21,65.0,70.0,2.275927983289166
22,70.0,75.0,2.258117281123206
23,75.0,80.0,2.349887543307085
24,80.0,85.0,2.3370635718900026
25,85.0,90.0,2.313312615388539
26,90.0,95.0,2.1356014552898235
27,95.0,100.0,1.1093464576799115
28,100.0,inf,
